"Xlong";"Ylat";"UF"
-68.0369029796589;-9.24303395895753;"AM"
-61.0529685318144;-4.86704308586195;"AM"
-63.8597770098271;-3.51504729873035;"AM"
-62.8611938257562;-3.79414181952365;"AM"
-62.3001250154758;-4.17588281987235;"AM"
-64.4128518850962;-5.18048349922523;"AM"
-73.1313056471851;-7.29673978064675;"AM"
-73.3097053469438;-7.24713666826952;"AM"
-62.3182937798835;-6.51323231866583;"AM"
-63.121348561435;-7.7124113340769;"AM"
-60.6985507873306;-2.92242481118999;"AM"
-58.6252071650839;-3.35158964318689;"AM"
-58.0789570197323;-3.24916943142191;"AM"
-58.7103566085361;-3.02412016401999;"AM"
-70.2678050212981;-6.56471501900814;"AM"
-64.7811498935521;-7.68859934641514;"AM"
-66.5175255286973;-8.27071365924087;"AM"
-61.132594552394;-3.54659512839746;"AM"
-60.3197792785801;-2.12307675800286;"AM"
-60.1818736947747;-2.71933878788259;"AM"
-60.1645869273692;-3.0592241140129;"AM"
-59.8923499075323;-3.07570564100519;"AM"
-60.4781190822227;-3.0218841899978;"AM"
-60.6790069283219;-2.84694423717447;"AM"
-59.4235767536378;-3.12319534477312;"AM"
-60.7034135139128;-2.2774669030495;"AM"
-59.7669053424848;-3.06885254643392;"AM"
-60.1973434437392;-2.47296664720401;"AM"
-60.2931638019765;-2.66574709308334;"AM"
-60.2253725684201;-2.41921075944323;"AM"
-60.3018541716784;-2.52727024827618;"AM"
-59.846076060012;-3.02350269719027;"AM"
-60.4951684155548;-2.85757847412489;"AM"
-60.7071178554278;-2.20488035502844;"AM"
-59.8343849957269;-2.89730248402339;"AM"
-60.5008472695854;-2.38028655786067;"AM"
-60.4368320808653;-3.05123646166641;"AM"
-60.391633220166;-3.05284996925853;"AM"
-60.0149598040525;-3.08258232924622;"AM"
-60.0181121946452;-3.0637159634009;"AM"
-60.0834456446068;-2.89342931280378;"AM"
-60.2894938899251;-2.50096316973679;"AM"
-60.2666450474504;-3.08368243175559;"AM"
-60.7318344448041;-2.44804382924922;"AM"
-60.4031482019322;-2.52870198926888;"AM"
-60.225253890641;-2.67621085267048;"AM"
-60.4330355119798;-2.07663898792118;"AM"
-59.9410212364513;-3.11190906704404;"AM"
-60.0070664162003;-2.12396613459103;"AM"
-60.2192944446625;-2.03134382590652;"AM"
-60.0080710308859;-2.16596033965237;"AM"
-60.1716936399695;-2.3341524248803;"AM"
-60.3384620592371;-2.96550738982391;"AM"
-60.6094390224153;-2.12938486857805;"AM"
-60.3407533338293;-2.23275931917597;"AM"
-60.4258251989773;-2.91629784989636;"AM"
-60.3689304859284;-2.25115850180853;"AM"
-60.17514086782;-2.55648292479105;"AM"
-60.1844391494198;-2.49313759703189;"AM"
-60.0669611811312;-2.80276211630087;"AM"
-60.6233950859215;-2.682152682296;"AM"
-60.4270289810514;-2.5386462520482;"AM"
-60.1504032841139;-3.0480969573278;"AM"
-59.8300987178879;-2.80612431856804;"AM"
-60.6524025481707;-2.89823867213912;"AM"
-60.1709902912565;-2.59496991663706;"AM"
-60.6437149649905;-2.23265522425529;"AM"
-60.2014244554844;-2.46256408525631;"AM"
-60.2570503790956;-2.31402370900847;"AM"
-60.3650035667;-2.44883371214848;"AM"
-60.1404868530063;-2.49753128581215;"AM"
-60.4605041507306;-2.64286717186682;"AM"
-60.6929874885967;-2.27824144135229;"AM"
-60.3321210188605;-2.69172430715989;"AM"
-60.3609809798189;-2.88601115634199;"AM"
-60.0578670336073;-3.02261832752265;"AM"
-60.3413047976699;-2.87657183344476;"AM"
-61.4895550344791;-7.91343849963974;"AM"
-58.2716005336028;-4.36275403433479;"AM"
-61.6445954928873;-2.38712425438687;"AM"
-61.6044363739574;-2.57968947698828;"AM"
-60.0522780073388;-5.80976480530575;"AM"
-61.2714780379832;-8.65161336459219;"AM"
-67.5115169294784;-0.270590965398587;"AM"
-67.8088137945859;-1.22052993803285;"AM"
-67.3042181105586;1.66859486411791;"AM"
-68.5166456948407;-0.131981214592234;"AM"
-69.5870397310844;-4.28152883163188;"AM"
-69.7985350626055;-4.03938351271674;"AM"
-64.4313708804036;-3.62154809684027;"AM"
-65.6194500424201;-4.55465725651477;"AM"
-64.1970687631425;-3.76990467109252;"AM"
